iter	Passed	Remaining
0	147	146928
1	149	74367
2	150	49979
3	151	37773
4	153	30551
5	155	25720
6	157	22272
7	158	19677
8	160	17655
9	161	15996
10	162	14627
11	163	13483
12	166	12608
13	167	11811
14	168	11088
15	169	10451
16	172	9998
17	174	9505
18	175	9052
19	176	8642
20	177	8275
21	179	7999
22	181	7730
23	183	7447
24	184	7207
25	186	6970
26	187	6743
27	188	6531
28	189	6334
29	190	6151
30	192	6023
31	194	5879
32	195	5732
33	196	5589
34	199	5492
35	200	5365
36	201	5243
37	202	5129
38	203	5022
39	204	4919
40	206	4840
41	208	4754
42	209	4671
43	211	4591
44	212	4507
45	213	4426
46	214	4349
47	215	4278
48	216	4207
49	217	4139
50	219	4078
51	221	4031
52	222	3981
53	224	3930
54	225	3881
55	227	3832
56	228	3784
57	230	3737
58	231	3692
59	233	3659
60	234	3617
61	236	3574
62	237	3534
63	239	3496
64	240	3464
65	242	3430
66	243	3397
67	245	3362
68	246	3331
69	248	3302
70	249	3270
71	251	3240
72	252	3209
73	254	3180
74	255	3151
75	257	3125
76	258	3098
77	260	3079
78	262	3061
79	264	3037
80	265	3009
81	266	2987
82	267	2956
83	268	2931
84	270	2907
85	271	2882
86	272	2857
87	273	2834
88	275	2817
89	277	2802
90	278	2781
91	279	2761
92	281	2743
93	282	2724
94	284	2705
95	285	2686
96	286	2668
97	287	2650
98	289	2638
99	291	2623
100	292	2607
101	294	2591
102	295	2575
103	296	2558
104	298	2541
105	299	2526
106	300	2511
107	302	2495
108	304	2490
109	306	2477
110	307	2466
111	309	2451
112	310	2437
113	312	2426
114	313	2414
115	315	2401
116	316	2385
117	317	2376
118	320	2369
119	321	2357
120	323	2346
121	324	2332
122	325	2320
123	327	2313
124	328	2301
125	330	2290
126	331	2281
127	333	2272
128	335	2263
129	336	2251
130	337	2239
131	338	2227
132	339	2215
133	340	2203
134	341	2190
135	343	2179
136	344	2168
137	346	2163
138	348	2156
139	349	2144
140	350	2134
141	351	2126
142	353	2117
143	354	2107
144	355	2097
145	357	2088
146	358	2079
147	360	2076
148	362	2069
149	363	2061
150	365	2053
151	366	2046
152	368	2038
153	369	2030
154	371	2022
155	372	2014
156	374	2008
157	375	2003
158	377	1998
159	379	1992
160	380	1984
161	382	1978
162	383	1971
163	385	1966
164	387	1959
165	389	1955
166	390	1949
167	392	1945
168	394	1939
169	396	1933
170	397	1929
171	399	1923
172	401	1917
173	405	1923
174	407	1923
175	411	1928
176	413	1923
177	415	1918
178	419	1922
179	421	1918
180	422	1913
181	424	1909
182	426	1905
183	430	1910
184	433	1907
185	434	1903
186	436	1897
187	438	1892
188	439	1887
189	441	1880
190	442	1876
191	444	1871
192	446	1866
193	448	1862
194	449	1855
195	451	1850
196	452	1843
197	453	1837
198	454	1830
199	456	1824
200	457	1818
201	458	1811
202	460	1808
203	462	1803
204	463	1799
205	465	1793
206	466	1788
207	468	1782
208	469	1778
209	471	1772
210	472	1766
211	473	1761
212	475	1757
213	477	1753
214	479	1749
215	481	1746
216	482	1741
217	483	1735
218	484	1728
219	487	1728
220	489	1726
221	491	1722
222	493	1720
223	495	1716
224	496	1711
225	498	1707
226	500	1703
227	502	1702
228	504	1699
229	506	1696
230	508	1693
231	510	1689
232	512	1686
233	514	1683
234	516	1680
235	518	1678
236	520	1674
237	521	1669
238	522	1664
239	524	1661
240	526	1658
241	528	1654
242	530	1651
243	532	1648
244	534	1647
245	536	1643
246	537	1639
247	539	1635
248	540	1630
249	541	1625
250	542	1619
251	544	1617
252	547	1615
253	548	1612
254	550	1607
255	551	1602
256	553	1599
257	554	1595
258	556	1590
259	557	1585
260	558	1582
261	561	1582
262	563	1578
263	564	1574
264	565	1569
265	566	1564
266	568	1560
267	570	1557
268	571	1554
269	575	1557
270	577	1553
271	578	1549
272	580	1545
273	581	1541
274	582	1536
275	584	1532
276	586	1529
277	588	1528
278	590	1525
279	591	1520
280	592	1516
281	593	1511
282	595	1508
283	596	1503
284	597	1499
285	598	1494
286	600	1491
287	603	1492
288	605	1489
289	606	1485
290	608	1481
291	609	1477
292	610	1474
293	612	1470
294	613	1467
295	633	1506
296	635	1503
297	636	1499
298	637	1495
299	639	1491
300	640	1487
301	641	1482
302	642	1479
303	644	1475
304	646	1474
305	649	1471
306	650	1467
307	651	1464
308	652	1459
309	653	1455
310	655	1451
311	656	1447
312	657	1443
313	661	1445
314	664	1445
315	666	1441
316	667	1437
317	668	1433
318	669	1429
319	670	1425
320	671	1421
321	675	1422
322	679	1424
323	681	1421
324	682	1418
325	684	1414
326	685	1410
327	686	1407
328	688	1403
329	691	1403
330	692	1400
331	693	1396
332	694	1392
333	696	1388
334	697	1384
335	698	1379
336	699	1375
337	700	1371
338	701	1367
339	702	1364
340	704	1361
